point,instance,start_time,end_time,true_x,true_y
1,1,103.2699366,104.9382716,840,525
2,1,105.4387721,107.4407741,577.5,253.75
3,1,107.9412746,109.9432766,577.5,799.1666667
4,1,110.4437771,112.4457791,1102.5,253.75
5,1,112.9462796,114.9482816,1102.5,799.1666667
6,1,115.1151151,117.1171171,840,525
1,2,237.3373373,239.0056723,840,525
2,2,239.5061728,241.5081748,577.5,253.75
3,2,242.0086753,244.0106773,577.5,799.1666667
4,2,244.5111778,246.5131798,1102.5,253.75
5,2,247.0136803,249.0156823,1102.5,799.1666667
6,2,249.5161828,251.1845179,840,525
